recipeID,quantity,unit,ingredient_NER,ingredient_Key_ingredient,rest of ingredient,metric_qty
5,1.0,cups,buttermilk,buttermilk, buttermilk,0.236
5,1.0,cups,buttermilk,buttermilk, buttermilk,0.236
40,0.25,cups,onion,onion, chopped onion (or as much as you want),0.059
40,1.0,packages,broccoli,broccoli, chopped broccoli,0.5
44,4.0,cups,cabbage,cabbage, shredded cabbage,0.944
44,2.0,tablespoons,onion,onion, finely chopped onion,0.028
44,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
48,0.3333333333333333,cups,onion,onion, chopped onion,0.07866666666666666
48,1.0,cups,cheese,cheese, cheese,0.236
71,2.0,tablespoons,honey,honey, honey,0.028
71,4.0,ounces,chicken,chicken, skinned chicken breast halves,0.112
87,2.0,cups,chicken,chicken, diced cooked chicken,0.472
87,0.5,cups,onion,onion, onion (large chunks),0.118
87,8.0,ounces,pineapple,pineapple, pineapple chunks,0.224
97,1.0,lbs,hamburger,hamburger," cooked, crumbled hamburger (drained)",0.453
97,1.0,cups,onion,onion," onion, chopped",0.236
97,1.0,tablespoons,mustard,mustard, prepared mustard,0.014
97,2.0,tablespoons,honey,honey, honey,0.028
102,2.0,cups,chicken,chicken," cubed, cooked chicken (light meat)",0.472
102,2.0,cups,cauliflower,cauliflower," fresh, raw cauliflower",0.472
109,0.3333333333333333,cups,mayonnaise,mayonnaise, mayonnaise,0.07866666666666666
109,0.5,jars,beef,beef, dried chipped beef,0.25
113,1.0,packages,onion,onion, dry onion mix,0.5
113,1.0,tablespoons,mustard,mustard, dry mustard,0.014
120,1.0,lbs,hamburger,hamburger, hamburger,0.453
120,1.0,tablespoons,mustard,mustard, mustard,0.014
156,1.0,packages,broccoli,broccoli, frozen chopped broccoli,0.5
156,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
185,0.5,cups,onion,onion, chopped onion,0.118
185,0.3333333333333333,cups,mayonnaise,mayonnaise, plus 2 level Tbsp. mayonnaise,0.07866666666666666
199,2.0,tablespoons,mustard,mustard, prepared mustard,0.028
199,2.0,lbs,pork,pork, cans pork and beans in tomato sauce,0.906
222,0.25,cups,onion,onion, chopped onion,0.059
222,1.0,cups,broccoli,broccoli, broccoli or favorite vegetable,0.236
240,1.0,cups,onion,onion, chopped onion,0.236
240,2.0,cups,mayonnaise,mayonnaise, mayonnaise,0.472
240,1.0,cups,cauliflower,cauliflower, cauliflower (in pieces),0.236
257,1.0,lbs,macaroni,macaroni, box medium size macaroni shells,0.453
257,0.5,lbs,ham,ham, cooked ham,0.2265
282,1.0,lbs,broccoli,broccoli, broccoli,0.453
282,1.0,lbs,cauliflower,cauliflower, cauliflower,0.453
300,1.0,tablespoons,onion,onion, minced onion,0.014
300,1.0,tablespoons,mayonnaise,mayonnaise, mayonnaise,0.014
323,1.0,ounces,bacon,bacon," pkg. bacon, cooked and crumbled",0.028
323,1.5,cups,ham,ham," cooked, smoked ham, cut in small cubes",0.354
323,1.5,cups,cheese,cheese, cheese (I use part Mozzarella and part Cheddar),0.354
325,0.25,cups,mustard,mustard, mustard,0.059
325,2.0,ounces,pork,pork, cans pork and beans,0.056
329,1.0,ounces,beef,beef," pkg. smoked, sliced ham, beef or corned beef, torn into small pieces",0.028
329,3.0,tablespoons,onion,onion, finely chopped onion,0.042
338,1.0,heads,cabbage,cabbage, cabbage,1.0
338,1.0,lbs,hamburger,hamburger, hamburger,0.453
363,1.0,ounces,pineapple,pineapple, jar pineapple preserves,0.028
363,1.25,ounces,mustard,mustard, dry mustard,0.035
365,3.0,cups,chicken,chicken," cubed, cooked chicken",0.708
365,0.25,cups,onion,onion, chopped onion,0.059
374,1.0,tablespoons,mustard,mustard, prepared mustard,0.014
374,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
425,1.5,cups,carrot,carrot, grated raw carrot,0.354
425,0.25,cups,apple,apple, grated unpeeled apple,0.059
425,1.5,cups,potato,potato, grated raw potato,0.354
430,0.5,cups,onion,onion, chopped onion,0.118
430,1.0,ounces,macaroni,macaroni, pkg. macaroni,0.028
435,1.0,lbs,salmon,salmon, can salmon,0.453
435,0.25,cups,onion,onion, chopped onion,0.059
466,4.0,cups,chicken,chicken, cooked chicken,0.944
466,0.75,cups,mayonnaise,mayonnaise, mayonnaise,0.177
466,3.0,tablespoons,onion,onion, chopped onion,0.042
485,0.5,lbs,bacon,bacon," bacon, fried crisp and crumbled",0.2265
485,0.5,heads,cauliflower,cauliflower," cauliflower, separated into small pieces",0.5
485,2.0,cups,mayonnaise,mayonnaise, mayonnaise,0.472
526,2.0,ounces,broccoli,broccoli, pkg. frozen cut broccoli,0.056
526,0.5,cups,cheese,cheese, grated sharp cheese,0.118
532,0.5,lbs,bacon,bacon, bacon,0.2265
532,0.5,cups,onion,onion, onion,0.118
541,1.0,lbs,spinach,spinach, bag spinach,0.453
541,1.5,cups,mayonnaise,mayonnaise, mayonnaise,0.354
543,0.5,cups,onion,onion, chopped onion,0.118
543,1.0,heads,cabbage,cabbage, cabbage,1.0
544,1.0,cups,cheese,cheese, grated sharp cheese,0.236
544,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
561,2.0,cups,chicken,chicken," cubed, cooked chicken (white meat)",0.472
561,0.5,cups,apple,apple, unpared diced apple,0.118
561,1.0,tablespoons,onion,onion, finely chopped onion,0.014
566,4.0,cups,chicken,chicken, chopped cooked chicken,0.944
566,0.5,cups,mayonnaise,mayonnaise, mayonnaise,0.118
586,0.5,cups,onion,onion, onion chunks,0.118
586,1.5,ounces,pineapple,pineapple, can pineapple chunks,0.042
595,1.0,lbs,hamburger,hamburger, hamburger,0.453
595,1.0,cups,macaroni,macaroni, macaroni,0.236
614,1.0,cups,mayonnaise,mayonnaise, Hellmann's mayonnaise,0.236
614,1.0,tablespoons,onion,onion, minced onion,0.014
617,2.0,cups,macaroni,macaroni," dry macaroni, cooked",0.472
617,1.0,lbs,shrimp,shrimp," medium shrimp, peeled and deveined",0.453
621,0.25,cups,onion,onion, chopped onion,0.059
621,1.0,cups,carrot,carrot, shredded carrot,0.236
628,2.0,lbs,chicken,chicken, chicken or lamb,0.906
628,1.0,heads,cauliflower,cauliflower, cauliflower,1.0
633,1.0,ounces,pork,pork, can pork and beans,0.028
633,1.0,tablespoons,mustard,mustard, mustard,0.014
634,0.75,cups,honey,honey, honey,0.177
634,1.75,cups,pumpkin,pumpkin, pumpkin or sweetened squash,0.413
636,2.0,tablespoons,mustard,mustard, prepared mustard,0.028
636,0.5,cups,onion,onion, chopped onion,0.118
673,0.75,cups,onion,onion, diced onion,0.177
673,8.0,ounces,macaroni,macaroni," macaroni, cooked",0.224
695,0.25,cups,honey,honey, honey,0.059
695,2.0,tablespoons,peanut,peanut, peanut or cottonseed oil,0.028
707,0.5,cups,onion,onion, chopped onion,0.118
707,1.0,ounces,pork,pork, can pork and beans,0.028
708,0.5,cups,onion,onion," onion, chopped fine",0.118
708,0.5,packages,broccoli,broccoli," broccoli, chopped",0.25
733,0.5,lbs,bacon,bacon," bacon, cooked and crumbled",0.2265
733,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
744,1.5,cups,onion,onion, chopped onion,0.354
744,2.0,tablespoons,mustard,mustard, mustard,0.028
766,1.0,cups,cheese,cheese, large curd cottage cheese,0.236
766,2.0,tablespoons,mustard,mustard, mustard,0.028
766,2.0,teaspoons,onion,onion, chopped onion,0.01
788,8.0,ounces,macaroni,macaroni," macaroni, cooked and drained",0.224
788,1.0,cups,mayonnaise,mayonnaise, mayonnaise,0.236
802,1.0,tablespoons,honey,honey, honey,0.014
802,2.0,lbs,chicken,chicken," chicken wings, wing tips cut off",0.906
812,1.0,cups,onion,onion, chopped onion,0.236
812,1.0,lbs,sausage,sausage," sausage (link, Polish, Italian, kielbasi or ground, browned or precooked)",0.453
814,1.0,lbs,hamburger,hamburger, hamburger,0.453
814,0.5,lbs,bacon,bacon, chopped bacon,0.2265
814,1.0,tablespoons,mustard,mustard, mustard,0.014
832,1.0,lbs,hamburger,hamburger, hamburger,0.453
832,0.5,cups,onion,onion, chopped onion,0.118
851,2.0,cups,chicken,chicken," diced, cooked chicken",0.472
851,0.75,cups,mayonnaise,mayonnaise, mayonnaise,0.177
861,2.0,teaspoons,honey,honey, honey,0.01
861,4.0,tablespoons,buttermilk,buttermilk, buttermilk,0.056
862,1.0,heads,cabbage,cabbage," cabbage, shredded fine",1.0
862,1.0,teaspoons,mustard,mustard, prepared mustard,0.005
