,Unnamed: 0,Product_description,Key_ingredient,Food_group,m_sweet,m_sour,m_bitter,m_umami,m_salt,m_fat,fat_100g,carbs_100g,proteins_100g
0,0,Chips pre-fried unprepared,chips,Potatoes,9,3,0,7,15,42,5.6,0.6,7.1
1,1,Potatoes boiled with skin av,potato,Potatoes,6,2,1,8,6,9,35.0,54.0,5.0
2,2,Crackers cream,cracker,Bread,5,1,1,1,8,7,12.0,76.0,8.0
3,3,Bread Tijger white,bread,Bread,7,2,1,0,13,12,11.0,30.0,9.0
4,4,Marmite,marmite,Miscellaneous,11,23,23,64,62,19,17.0,49.0,16.0
5,5,Crispy seaweed Tao Kae Noi (original),seaweed,Miscellaneous,6,3,1,40,22,13,0.5,41.0,7.8000001907349
6,6,Eggs chicken boiled average,egg,Eggs,5,2,1,8,10,26,5.2,64.8,15.0
7,7,Olives tinned/glass,olive,Fruit,4,6,4,18,31,19,5.2,15.0,5.0
8,8,Strawberries,strawberry,Fruit,18,34,1,0,1,8,7.6,35.0,2.6
9,9,Pineapple,pineapple,Fruit,34,34,1,0,2,5,0.0,12.8,0.0
10,10,Banana,banana,Fruit,29,2,1,1,1,24,0.0,12.8,0.0
11,11,Orange,orange,Fruit,19,47,8,0,1,3,0.0,12.8,0.0
12,12,Peaches in syrup tinned,peach,Fruit,31,14,2,1,2,9,0.0,10.0,0.5
13,13,Apple with skin average,apple,Fruit,22,40,1,1,1,3,0.0,12.8,0.0
14,14,Kiwi fruit,kiwi,Fruit,19,51,4,0,1,7,0.0,66.67,8.33
15,15,Dates fresh,date,Fruit,46,3,0,1,2,19,18.0,55.1,8.0
16,16,Raisins soaked in water,raisin,Fruit,48,15,0,1,3,17,5.0,64.2,11.0
17,17,Pear with skin,pear,Fruit,30,6,1,1,1,10,0.2,14.0,2.0
18,18,Biscuits averaged,biscuit,"Pastry, Cakes and Biscuits",27,1,1,1,11,12,22.7,68.2,9.09
19,19,Biscuit spiced Speculaas,speculaas,"Pastry, Cakes and Biscuits",39,1,1,1,11,13,37.2,51.7,2.6
20,20,Waffle syrup average,stroopwafel,"Pastry, Cakes and Biscuits",56,1,1,1,8,30,18.0,71.0,3.5
21,21,Doughnuts plain,doughnut,"Pastry, Cakes and Biscuits",44,1,1,1,12,49,32.0,34.0,8.2
22,22,Waffle Luikse,waffle,"Pastry, Cakes and Biscuits",47,1,0,0,8,24,20.2,7.82,28.9
23,23,Pasta plain average boiled,macaroni,Cereals and cereal products,3,2,1,1,3,16,2.6,78.9,5.5
24,24,Wrap/Tortilla,tortilla,Cereals and cereal products,11,1,1,2,11,14,7.63157919833535,23.6842105263158,7.89473684210526
25,25,Muesli crunchy plain/w fruit,muesli,Cereals and cereal products,35,8,1,1,10,10,20.1,53.4,10.0
26,26,Kellogg's Special K original,cereal,Cereals and cereal products,28,1,1,0,11,6,44.0,13.0,3.2
27,27,"Bambix porridge rice flour, with Nutrilon follow on standard 1",porridge,Cereals and cereal products,15,1,1,0,3,22,5.0,46.67,6.67
28,28,Endive boiled,endive,Vegetables,3,1,8,2,1,6,0.2,2.8,1.4
29,29,Kale curly boiled,kale,Vegetables,3,1,7,2,2,4,0.0,66.67,8.33
30,30,Mushrooms boiled,mushroom,Vegetables,7,3,2,18,5,18,2.7,6.8,2.7
31,31,Celeriac boiled,celeriac,Vegetables,12,3,3,3,3,11,12.9,4.7,3.1
34,34,Cabbage oxheart boiled,cabbage,Vegetables,3,3,6,1,1,6,11.0,7.0,1.0
35,35,Chicory boiled,chicory,Vegetables,5,1,11,1,2,7,0.0,9.1,2.7
36,36,Carrots boiled average,carrot,Vegetables,15,2,1,3,2,10,1.5,4.6999998092651,1.1000000238419
37,37,Cabbage sauerkraut cooked,sauerkraut,Vegetables,6,70,4,2,17,4,0.5,0.8,1.5
38,38,Gherkins sweet pickled,gherkin,Vegetables,12,69,1,2,9,7,9.5,6.5,4.0
39,39,Pea garden super fine tinned,pea,Vegetables,15,2,1,6,11,9,5.2,15.0,5.0
40,40,Spinach frozen boiled,spinach,Vegetables,7,4,8,3,4,7,0.5,0.8,1.8
41,41,Cauliflower boiled,cauliflower,Vegetables,10,4,4,5,2,12,0.4,4.6,1.6
42,42,Leek boiled,leek,Vegetables,9,4,11,6,4,13,6.8,12.0,0.0
43,43,"Pumpkin, blanched",pumpkin,Vegetables,10,3,2,6,2,6,22.0,58.0,9.6
44,44,"Radish, raw",radish,Vegetables,5,6,7,3,1,2,1.43,94.67,0.0
45,45,Broccoli boiled,broccoli,Vegetables,11,6,5,7,4,12,1.3,13.0,2.9
46,46,Courgettes boiled,courgette,Vegetables,7,1,2,4,2,9,18.0,7.1,1.5
47,47,Lettuce raw,lettuce,Vegetables,10,5,3,2,1,2,11.0,37.0,17.0
48,48,Tomato raw,tomato,Vegetables,8,26,3,14,3,5,18.0,7.1,1.5
49,49,Cucumber raw,cucumber,Vegetables,6,6,3,1,1,2,9.5,6.5,4.0
50,50,Onions boiled,onion,Vegetables,9,4,4,4,2,9,18.0,7.1,1.5
